# VoxWrite offline Pinyin lexicon v2
# Generated from jieba 0.42.1 + pypinyin 0.55.0 (MIT)
a	啊 阿 嗄 锕
baixiaowu	白孝武
baixibao	白细胞
baixie	拜谢
baixing	百姓 败兴
baixinger	白兴儿
baixingjia	百姓家
baixiong	白熊
baixiuying	白秀英
baixu	白须
baixue	白雪
baixueaiai	白雪皑皑
baixuebing	白血病
baixuegongzhu	白雪公主
baixueniang	白雪娘
baixueqiu	白血球
baixuezheng	败血症
baiyan	白眼 百眼 白烟
baiyang	白洋 白羊 白杨
baiyangdian	白洋淀
baiyangshu	白杨树
baiyangzhai	白羊寨
baiyansong	白岩松
baiye	白夜 拜谒 败叶 百业
baiyechuang	百叶窗
baiyi	白衣 白蚁 百亿
baiyibaishun	百依百顺
baiyin	白银
baiying	白影
baiyingzi	白英子
baiyixiushi	白衣秀士
baiyiyuan	百亿元
baiyou	柏油
baiyoulu	柏油路
baiyu	百余 白玉 白鱼
baiyuan	百元
baiyue	百越
baiyulan	白玉兰
baiyuli	百余里
baiyumi	百余米
baiyuming	百余名
baiyun	白云
baiyunan	白云庵
baiyuncun	白云村
baiyunguan	白云观
baiyunian	百余年
baiyunjichang	白云机场
baiyunling	白云岭
baiyunqu	白云区
baiyunshan	白云山
baiyunshi	白云石
baiyunyan	白云岩
baiyushi	白玉石
baiyutiao	百余条
baiyuwan	百余万
baiyuzhang	百余丈
baiyuzhao	百余招
baiyuzhong	百余种
baizai	摆在
baizhanbaisheng	百战百胜
baizhanbudai	百战不殆
baizhang	败仗 百丈
baizhanglao	白长老
baizhanting	拜占庭
baizhaoshi	白赵氏
baizhe	败者
baizhebunao	百折不挠
baizhen	败阵
baizheng	摆正
baizhi	白纸 百只 白质 白芷
baizhiheizi	白纸黑字
baizhong	百种 摆钟
baizhongren	白种人
baizhou	白昼
baizhu	白术
baizi	白子 百子
baizu	白族
baji	八级 靶机 坝基 巴基
bajia	八家
bajian	拔剑 拔尖 八件
bajiao	八角 芭蕉 拔脚
bajiaogu	八角鼓
bajiaomao	八角帽
bajiaoshan	芭蕉扇
bajiaoting	八角亭
bajiaoxing	八角形
bajie	八戒 八届 巴结 巴解 八节 拔节
bajiequanguorenda	八届全国人大
bajiezuzhi	巴解组织
bajin	巴金
bajing	八景
bajiquan	八极拳
bajisitan	巴基斯坦
bajiu	把酒 八九
bajiubulishi	八九不离十
bajiucheng	八九成
bajiudian	八九点
bajiufen	八九分
bajiuge	八九个
bajiunian	八九年
bajiushi	八九十
bajiusui	八九岁
baju	八句
bajuan	八卷
bakai	扒开
bake	罢课 巴克 八颗
bakete	巴克特
bakou	八口
baku	巴库
bakuai	八块
bala	巴拉 扒拉
balagui	巴拉圭
balake	巴拉克
balana	巴拉那
balanahe	巴拉那河
balangxing	巴朗星
balanqin	巴兰钦
bale	罢了
balei	芭蕾 巴勒
baleimo	巴勒莫
baleiwu	芭蕾舞
baleiwuju	芭蕾舞剧
baleiwutuan	芭蕾舞团
balesitan	巴勒斯坦
balesitanguo	巴勒斯坦国
balesitanjiefangzuzhi	巴勒斯坦解放组织
balesitanren	巴勒斯坦人
bali	巴黎 巴里 八里 巴厘
balian	八连
baliang	八两
balidao	巴厘岛
baliewei	巴列维
baligongshe	巴黎公社
balikun	巴里坤
balin	巴林
balishengmuyuan	巴黎圣母院
balisi	巴里斯
baliusanjihua	八六三计划
balong	巴隆
balu	八路 巴鲁 巴卢
balujun	八路军
balujundiyiyiwushi	八路军第一一五师
balujunzongbu	八路军总部
balunxiya	巴伦西亚
balunzhihai	巴伦支海
baluo	巴罗
baluoke	巴洛克
baluqi	巴卢其
bama	巴马
bamai	把脉
bamake	巴马科
bamen	把门 八门
bamian	罢免 八面
bamianlinglong	八面玲珑
bamianti	八面体
baming	八名
bamiyang	巴米扬
ban	办 半 板 班 版 般 搬 颁 伴 湴 拌 斑 扮 扳 瓣 绊 闆 瘢 坂 钣 坢 癍 阪 舨 攽 辦 岅 瓪 辬
banade	巴纳德
banama	巴拿马
banamacheng	巴拿马城
banamayunhe	巴拿马运河
banan	办案
banbai	斑白
banban	斑斑 般般 办班
banbandiandian	斑斑点点
banbao	办报 半饱
banbei	半杯
banbeizi	半辈子
banben	版本 半本
banbenhao	版本号
banbi	板壁 半壁
banbian	半边
banbiantian	半边天
banbijiangshan	半壁江山
banbo	斑驳
banbu	颁布 半部 半步
bancai	板材
banchan	班禅
banchaneerdeni	班禅额尔德尼
banchang	半场 办厂 伴唱
banchao	班超
banche	班车 板车
bancheng	办成 扮成 半程
banchengpin	半成品
banchi	半尺
banchu	搬出
banchuang	板床
banci	班次 颁赐
bancun	半寸
bandai	半袋
bandao	半岛 办到 扳倒 绊倒 半道
bandaoti	半导体
bandaoticunchuqi	半导体存储器
bande	般的
bandeng	板凳
bandi	般地 班底
bandian	半点 斑点 班迪安
bandianer	半点儿
bandiaozi	半吊子
bandixueshi	半地穴式
bandong	搬动 扳动
banduan	半段
baner	伴儿 板儿
banfa	办法 颁发
banfang	班房
banfen	半分
banfengbi	半封闭
banfengjian	半封建
banfengjianshehui	半封建社会
banfenzhong	半分钟
banfu	板斧 半幅
bang	浜 帮 邦 镑 棒 榜 绑 磅 蚌 傍 幇 膀 梆 谤 棓 縍
bangban	帮办
bangbang	帮帮
bangbangmang	帮帮忙
bangbi	膀臂
bangbuliao	帮不了
bangchen	帮衬
bangchui	棒槌
bangde	邦德
bangding	绑定
bange	半个 班戈
bangen	半根
bangfei	绑匪
bangfu	帮扶
banggong	帮工
banggui	帮规
banghui	帮会
bangjia	绑架 邦加
bangjiao	邦交 帮教
bangke	蚌壳 邦克
bangkun	帮困
banglian	邦联
bangmang	帮忙
bangong	办公
bangongbandu	半工半读
bangongchu	办公处
bangonghui	办公会
bangonghuiyi	办公会议
bangonglou	办公楼
bangongqu	办公区
bangongshi	办公室
bangongting	办公厅
bangongzhuo	办公桌
bangpai	帮派
bangpiao	绑票
bangqiang	帮腔
bangqiu	棒球
bangshangyouming	榜上有名
bangshou	帮手 榜首
bangtou	棒头
bangtui	绑腿
bangu	班固
bangwan	傍晚
bangwen	榜文
bangxian	帮闲
bangxiong	帮凶
bangyan	榜眼
bangyang	榜样
bangzha	绑扎
bangzhen	棒针
bangzhengfu	邦政府
bangzhu	帮助 帮主
bangzhuang	棒状
bangzi	膀子 梆子 帮子 棒子
bangziqiang	梆子腔
banhao	办好
banhen	瘢痕 斑痕
banhu	板胡
banhua	版画
banhuajia	版画家
banhui	扳回 班会
banian	八年
banji	班级 班机 扳机 班吉
banjia	搬家 半价
banjialuoer	班加罗尔
banjian	半间
banjiang	颁奖
banjiaoshi	绊脚石
banjiaxi	班加西
banjie	半截 板结
banjiezi	半截子
banjin	半斤 搬进
banjinbaliang	半斤八两
banjing	半径
banjiu	斑鸠 半旧
banju	半句
banjuan	半卷
banjuesai	半决赛
bankai	半开
bankong	半空
bankuai	板块 斑块 版块 半块
banlan	斑斓
banlangen	板蓝根
banli	办理 板栗 班里 半里
banliang	半两
banlu	半路
banluchujia	半路出家
banlun	班轮
banlv	伴侣
banma	斑马
banmasuo	绊马索
banmei	半枚
banmen	板门
banmendian	板门店
banmennongfu	班门弄斧
banmi	半米
banmian	版面 板面 半面
banmo	瓣膜
banna	版纳
bannian	半年
banniang	伴娘
bannianqian	半年前
bannongshifei	搬弄是非
banpei	般配
banpian	半片
banping	扳平 半瓶
banpo	半坡
banqi	办起 半期
banqian	搬迁
banqiao	板桥
banqiu	半球
banquan	版权 半圈
banri	半日
banrichao	半日潮
banru	搬入
banshan	半山 半扇
banshang	半晌 班上
banshangdingding	板上钉钉
banshangfang	半晌方
banshanyao	半山腰
banshen	半身 阪神
banshenbusui	半身不遂
bansheng	伴生 半生
banshengbushu	半生不熟
banshi	办事 班师 板式 版式 半世
banshichu	办事处
banshiji	半世纪
banshiyuan	办事员
banshizu	办事组
banshou	扳手
banshu	半数
banshuaiqi	半衰期
banshui	版税
bansi	半死 半丝
bansibuhuo	半死不活
bansui	伴随 半岁
bantian	半天
bantiao	半条
bantong	伴同 半桶
bantou	半头 班头
bantouming	半透明
bantouyan	斑头雁
bantu	版图 半途
bantuerfei	半途而废
bantuibanjiu	半推半就
banturen	班图人
banwan	办完 半碗
banwen	斑纹 半文
banwenmang	半文盲
banwu	伴舞
banxia	半夏
banxiang	半响 扮相
banxiao	办校
banxinbanyi	半信半疑
banxinbujiu	半新不旧
banxing	颁行 伴星
banxue	办学
banya	板鸭
banyan	扮演 板岩 斑岩 板眼
banye	半夜 半叶
banyesangeng	半夜三更
banyin	半音 伴音
banying	半影
banyou	伴有 伴游
banyuan	板垣 半圆
banyuanxing	半圆形
banyue	半月
banyuekan	半月刊
banyuetan	半月谈
banyuexing	半月形
banyun	搬运 拌匀
banyungong	搬运工
banzai	半载
banzhan	半盏
banzhang	班长 半张 半丈
banzhao	半招
banzhen	斑疹
banzhenbanjia	半真半假
banzheng	办证
banzhi	半只 扳指
banzhimindi	半殖民地
banzhimindihua	半殖民地化
banzhu	斑竹 班主
banzhuan	板砖
banzhuang	板状
banzhuren	班主任
banzi	班子 板子
banzidong	半自动
banzou	伴奏 搬走
banzu	班组
banzui	拌嘴
banzuo	扮作
banzuoyou	半左右
bao	报 抱 包 保 宝 薄 爆 饱 堡 豹 暴 胞 鲍 龅 苞 堢 孢 寚 煲 褒 雹 窇 緥 葆 寳 鸨 嫑 寶 笣 枹 齙 趵
baoan	保安 报案 宝安
baoandui	保安队
baoanting	保安厅
baoantuan	保安团
baoanzu	保安族
baoban	包办 薄板
baobao	宝宝 抱抱
baobaode	薄薄的
baobei	宝贝 包被 薄被
baobeier	宝贝儿
baoben	保本
baobi	包庇 薄壁 暴毙
baobian	褒贬
baobianbuyi	褒贬不一
baobiao	报表 保镖
baobing	抱病 薄冰 暴病 薄饼
baobuding	保不定
baobuzhu	保不住
baocan	饱餐
baocang	包藏 保藏
baocanghuoxin	包藏祸心
baoceng	薄层
baocha	宝刹
baochaixiao	宝钗笑
baochan	包产
baochandaohu	包产到户
baochang	饱尝 报偿
baochao	包抄 爆炒
baoche	包车
baocheng	报称
baochi	保持 抱持
baochizhe	保持者
baochou	报仇 报酬
baochouxuechi	报仇雪耻
baochouxuehen	报仇雪恨
baochu	爆出 报出
baochuang	刨床
baochunhua	报春花
baochunlai	鲍春来
baocui	薄脆
baocun	保存
baoda	报答
baodachu	鲍大楚
baodan	保单
baodao	报道 宝刀 报导 报到 宝岛
baodewen	鲍德温
baodezhu	保得住
baodi	宝地 胞弟 保底
baodian	宝典
baodie	暴跌
baoding	保定 抱定
baodingshi	保定市
baodong	暴动
baoduan	报端
baoe	保额
baoen	报恩
baoer	保尔
baoermo	鲍尔默
baoernai	包二奶
baoerye	宝二爷
baofa	爆发 暴发
baofahu	暴发户
baofali	爆发力 包法利
baofang	包房
baofaxing	爆发性
baofei	报废 保费
baofen	孢粉
baofeng	暴风 宝丰
baofengxue	暴风雪
baofengyu	暴风雨
baofengzhouyu	暴风骤雨
baofojiao	抱佛脚
baofu	包袱 报复 抱负 暴富
baofuxing	报复性
baogan	包干
baogang	宝钢 包钢
baogao	报告
baogaodan	报告单
baogaohui	报告会
baogaoqi	报告期
baogaoshu	报告书
baogaoting	报告厅
baogaotuan	报告团
baogaowenxue	报告文学
baoge	饱嗝
baogong	包公 包工
baogongtou	包工头
baogu	包谷
baoguan	保管 报馆 报关 包管
baoguang	曝光
baoguanyuan	报关员 保管员
baogui	宝贵
baoguo	包裹 报国 保国
baoguosi	报国寺
baohai	宝海
baohan	包含 饱含 包涵 抱憾
baohaosi	包豪斯
baohe	饱和 宝盒
baohedian	保和殿
baohedu	饱和度
baohongjin	包红巾
baohu	保护
baohua	刨花
baohuaban	刨花板
baohuaji	报话机
baohuang	保皇
baohuanggou	保皇狗
baohuangpai	保皇派
baohuceng	保护层
baohudi	保护地
baohufa	保护法
baohuguanshui	保护关税
baohuguo	保护国
baohuhuanjing	保护环境
baohuiseng	包惠僧
baohujia	保护价
baohumo	保护膜
baohuo	宝货
baohuqi	保护期
baohuqu	保护区
baohuquan	保护权
baohusan	保护伞
baohuse	保护色
baohushen	保护神
baohuwang	保护网
baohuxing	保护性
baohuzhe	保护者
baohuzhuyi	保护主义
baoji	包机 保级 宝鸡
baojia	报价 保驾 保甲
baojialiya	保加利亚
baojialiyaren	保加利亚人
baojialiyayu	保加利亚语
baojian	保健 宝剑 保荐 包间
baojiancao	保健操
baojiang	褒奖
baojianjiu	保健酒
baojianpin	保健品
baojianren	保荐人
baojianshipin	保健食品
baojiao	堡礁
baojiaweiguo	保家卫国
baojie	报捷 宝洁 保洁 报界
baojiejie	宝姐姐
baojin	包金
baojing	报警 饱经
baojingan	保境安
baojingcangsang	饱经沧桑
baojingfengshuang	饱经风霜
baojingqi	报警器
baojingyouhuan	饱经忧患
baojishi	宝鸡市
baoju	保举
baojuan	宝眷
baojun	暴君
baokan	报刊
baokang	保康
baokangxian	保康县
baokao	报考
baokaozhe	报考者
baoku	宝库
baokui	抱愧
baokuo	包括
baolan	包揽 饱览
baolantielu	包兰铁路
baolei	堡垒 暴雷
baoleming	报了名
baoleng	爆冷
baoli	暴力 暴戾 暴利 薄礼 保利
baolian	暴敛
baolie	爆裂 暴烈
baolingqiu	保龄球
baolisi	鲍里斯
baolituan	暴力团
baoliu	保留
baoliudi	保留地
baoliujumu	保留剧目
baolu	暴露
baoluan	暴乱
baoluo	保罗 包罗
baoluoting	鲍罗廷
baoluowanxiang	包罗万象
baoluwuyi	暴露无遗
baoma	宝马
baomaishang	包买商
baoman	饱满 爆满
baomi	保密
baomihua	爆米花
baomin	保民
baoming	报名 保命
baomingbiao	报名表
baomingdian	报名点
baomingfei	报名费
baominguan	保民官
baomingzhe	报名者
baomixing	保密性
baomo	薄膜 包膜
baomu	保姆 鸨母
baonu	暴怒
baonuan	保暖 饱暖
baonve	暴虐
baopi	剥皮 包皮 报批
baopian	薄片 苞片
baopiao	保票
baoping	宝瓶
baopo	爆破
baopotong	爆破筒
baoqi	宝器 暴弃
baoqian	抱歉
baoqianling	鲍千灵
baoqing	报请
baoquan	保全 抱拳
baoren	保人
baorong	包容
baorongxing	包容性
baoruiguang	薄瑞光
baorunshi	包润石
baosang	报丧
baosangni	鲍桑尼
baosha	薄纱 抱厦
baoshan	保山 宝山
baoshang	报上 保墒
baoshangangtiezongchang	宝山钢铁总厂
baoshanqu	宝山区
baoshe	报社
baoshengong	包身工
baoshi	宝石 保湿 保释 饱食 报时
baoshijie	保时捷
baoshou	保守 饱受 报收
baoshoudang	保守党
baoshoupai	保守派
baoshouzhuyi	保守主义
baoshu	报数
baoshui	保税
baoshuiji	保水剂
baoshuiqu	保税区
baoshuwang	宝树王
baosong	保送 报送
baosongsheng	保送生
baota	宝塔
baotang	煲汤
baotangseng	保唐僧
baotianjian	包天剑
baotianxin	包天心
baotiao	暴跳
baotiaorulei	暴跳如雷
baoting	保亭
baotong	报童
baotou	包头 抱头
baotougangtiegongsi	包头钢铁公司
baotoushi	包头市
baotoushucuan	抱头鼠窜
baotoutongku	抱头痛哭
baotu	暴徒
baotuquan	趵突泉
baowei	包围 保卫
baoweibu	保卫部
baoweichu	保卫处
baoweier	鲍威尔
baoweike	保卫科
baoweiquan	包围圈
baoweizhan	保卫战
baoweizhe	保卫者
baowen	保温 报文
baowu	宝物
baowuyuan	报务员
baoxi	报喜
baoxian	保险 保鲜
baoxiandan	保险单
baoxianfa	保险法
baoxianfei	保险费
baoxiang	包厢 宝象
baoxiangongsi	保险公司
baoxiangui	保险柜
baoxianji	保鲜剂
baoxianjin	保险金
baoxianren	保险人
baoxiansi	保险丝
baoxianxiang	保险箱
baoxianye	保险业
baoxiao	报销 报效 包销 报晓
baoxin	报信
baoxing	暴行
baoxiruo	包惜弱
baoxiu	保修
baoxue	暴雪
baoxuezhishi	饱学之士
baoxuezhong	包学忠
baoyang	保养 褒扬 包养
baoyatou	宝丫头
baoye	宝业 报业
baoyi	报以 包衣 胞衣
baoyibo	薄一波
baoyin	包银
baoyinbaoshi	暴饮暴食
baoying	报应 宝应
baoyou	保佑 保有
baoyouchuliang	保有储量
baoyu	宝玉 暴雨 保育 鲍鱼
baoyuan	抱怨 报怨
baoyue	包月
baoyuyuan	保育院
baoza	包扎
baozai	雹灾
baozang	宝藏
baozao	暴躁
baozha	爆炸
baozhali	爆炸力
baozhang	保障 暴涨 保长 报章
baozhangbumen	保障部门
baozhangjin	保障金
baozhangju	保障局
baozhangxing	保障性
baozhasheng	爆炸声
baozhawu	爆炸物
baozhaxing	爆炸性
baozheng	保证 暴政 包拯
baozhengjin	保证金
baozhengshu	保证书
baozhentang	保贞堂
baozhi	报纸 报知 保值 薄纸 保质
baozhiqi	保质期
baozhong	保重
baozhu	抱住 保住 爆竹 宝珠 包住
baozhuang	包装
baozhuangdai	包装袋
baozhuanghe	包装盒
baozhuangzhi	包装纸
baozhuma	宝柱妈
baozhun	保准
baozhusheng	爆竹声
baozi	孢子 豹子 包子
baozinang	孢子囊
baozuo	宝座
bapi	八匹
bapin	八品
bapudi	巴普蒂
baqi	八旗 八七 霸气
baqian	八千
baqianli	八千里
baqisi	巴契斯
baqiya	巴契亚
baqizidi	八旗子弟
baqu	坝区
baquan	霸权
baquanzhuyi	霸权主义
baren	巴人
bari	八日
basa	巴萨
basaier	巴塞尔
basailuona	巴塞罗那
basailuonadui	巴塞罗那队
basang	巴桑
bashan	巴山
bashang	坝上
bashansheshui	跋山涉水
bashe	跋涉
bashenjier	巴什基尔
bashi	罢市 八十 巴士
bashidiyu	巴士底狱
bashiduosui	八十多岁
bashihaixia	巴士海峡
bashila	巴士拉
bashili	八十里
bashinian	八十年
bashiniandai	八十年代
bashisui	八十岁
bashiwan	八十万
bashiyi	八十一
bashiyizhi	八十一只
bashizhounian	八十周年
bashou	把手 把守 罢手
bashu	巴蜀
basi	巴斯
baside	巴斯德
basike	巴斯克
basou	八艘
basu	巴苏
basui	八岁
basuo	八所
basuofu	巴索夫
batageniya	巴塔哥尼亚
batai	吧台
batang	巴塘
bate	巴特
bateer	巴特尔
batelei	巴特勒
bati	坝体
batian	八天
batianshi	巴天石
batiao	八条
batou	把头 坝头
batui	拔腿
bawan	把玩 八万
bawang	霸王 巴望
bawangbieji	霸王别姬
bawanjin	八万斤
bawei	八位 八维
bawo	把握
bawu	八五
baxi	巴西 把戏
baxia	八下
baxian	八仙 巴县
baxiang	八项 靶向
baxianguohai	八仙过海
baxiangzhuyi	八项注意
baxianzhuo	八仙桌
baxidui	巴西队
baxiliya	巴西利亚
baximu	巴西木
baxin	靶心
baxing	八行
baxiongdi	把兄弟
baxiren	巴西人
baxiu	罢休
baxun	八旬
baya	拔牙
bayankalashan	巴颜喀拉山
bayannaoermeng	巴彦淖尔盟
baye	霸业
bayi	八一
bayidui	八一队
bayin	八音
baying	拔营
bayuan	八员
bayue	八月
bayunhui	八运会
bazai	八载
bazhan	霸占
bazhang	巴掌 八张
bazhao	八招
bazhe	八折
bazhen	八阵 八珍
bazhi	八只 坝址 罢职
bazhong	八中 八种 巴中 八重
bazhou	霸州
bazhu	霸主 把住 八柱
bazhuo	拔擢
bazi	八字 靶子 把子 坝子
bazibu	八字步
bazuo	八座
bei	被 北 背 倍 杯 备 碑 辈 備 贝 悲 卑 钡 悖 呗 孛 焙 狈 鞴 惫 陂 牬 鐾 梖 碚 邶 蓓 鹎 褙 唄 琲 俻
beiai	悲哀 北爱
beiaierlan	北爱尔兰
beian	备案 北岸 北安
beiban	背板 备办
beibanqiu	北半球
beibao	背包
beibaoxianren	被保险人
beibeidong	北北东
beibi	卑鄙
beibian	北边
beibingyang	北冰洋
beibiwochuo	卑鄙龌龊
beibiwuchi	卑鄙无耻
beibu	北部 被捕 背部
beibuwan	北部湾
beicaili	贝采利
beican	悲惨
beicang	北仓
beice	北侧
beicha	备查
beichao	北朝
beichaoxian	北朝鲜
beichen	北辰
beicheng	北城
beichou	悲愁
beichu	辈出
beichuang	悲怆
beicongzhonglai	悲从中来
beida	北大
beidahuang	北大荒
beidai	背带
beidaihe	北戴河
beidailiren	被代理人
beidajie	北大街
beidan	被单
beidanbaoren	被担保人
beidao	被盗 北道 北岛
beidaoerchi	背道而驰
beidaxiyang	北大西洋
beidaxiyanggongyuezuzhi	北大西洋公约组织
beidaying	北大营
beidian	北电
beidiao	贝雕
beidiaochazhe	被调查者
beidili	背地里
beidisi	贝蒂斯
beidong	被动 北东
beidongshi	被动式
beidou	北斗
beidouqixing	北斗七星
beidouxing	北斗星
beiduan	北段 北端
beidui	背对
beiduofen	贝多芬
beier	贝尔
beierci	贝尔茨
beierfasite	贝尔法斯特
beierfu	贝尔福
beiergelaide	贝尔格莱德
beiergen	卑尔根
beierman	贝尔曼
beierna	贝尔纳
beiershiyanshi	贝尔实验室
beiersi	贝尔斯
beifa	北伐
beifajun	北伐军
beifang	北方
beifangbang	北方邦
beifangdiqu	北方地区
beifangju	北方局
beifangzhe	被访者
beifazhanzheng	北伐战争
beifei	北非
beifen	悲愤 备份 辈分 辈份
beifeng	北风 背风
beifu	被俘 背负 被覆 被服
beifubing	北府兵
beigan	倍感 备感
beigao	被告
beigaojiasuo	北高加索
beigaoren	被告人
beigaoxi	被告席
beige	贝格 悲歌
beigongquxi	卑躬屈膝
beiguan	悲观 北关
beiguanshiwang	悲观失望
beiguo	北国
beihai	北海 被害
beihaidao	北海道
beihaigongyuan	北海公园
beihaijiandui	北海舰队
beihairen	被害人
beihaishi	贝海石 北海市
beihaizhe	被害者
beihan	北汉
beihang	北航
beihe	北河
beiheiguo	背黑锅
beihekou	北河口
beihou	背后
beihu	北湖
beihuan	悲欢
beihuang	备荒
beihuanlihe	悲欢离合
beihuiguixian	北回归线
beiji	北极 背脊 碑记
beijia	倍加
beijiaer	贝加尔
beijiaerhu	贝加尔湖
beijian	卑贱 备件
beijiang	备降 北江 北疆
beijiao	被叫 北郊 北角
beijie	北街 碑碣
beijiguang	北极光
beijihu	北极狐
beijing	北京 背景
beijingchenbao	北京晨报
beijingcheng	北京城
beijingchengxiangmaoyizhongxin	北京城乡贸易中心
beijingdaxue	北京大学
beijingdaxuechubanshe	北京大学出版社
beijingdaxuediyiyiyuan	北京大学第一医院
beijingdaxuelishixi	北京大学历史系
beijingdaxuezhexuexi	北京大学哲学系
beijingdianshitai	北京电视台
beijingdianyingxueyuan	北京电影学院
beijingdianyingzhipianchang	北京电影制片厂
beijingdianziguanchang	北京电子管厂
beijingdiqu	北京地区
beijingdui	北京队
beijingfandian	北京饭店
beijinggongshangdaxue	北京工商大学
beijinggongyedaxue	北京工业大学
beijinggugong	北京故宫
beijinggugongbowuyuan	北京故宫博物院
beijingguoan	北京国安
beijingguoandui	北京国安队
beijinghangkonghangtiandaxue	北京航空航天大学
beijinghuiyizhongxin	北京会议中心
beijinghuochezhan	北京火车站
beijingjunqu	北京军区
beijingjunquzongyiyuan	北京军区总医院
beijingkejidaxue	北京科技大学
beijinglianhedaxue	北京联合大学
beijingligongdaxue	北京理工大学
beijinglixiang	背井离乡
beijinglu	北京路
beijingqingnianbao	北京青年报
beijingrenmindahuitang	北京人民大会堂
beijingrenminyishujuyuan	北京人民艺术剧院
beijingrenyi	北京人艺
beijingshi	北京市
beijingshifandaxue	北京师范大学
beijingshigonganju	北京市公安局
beijingshijianwei	北京市建委
beijingshilvyouju	北京市旅游局
beijingshirenminzhengfu	北京市人民政府
beijingshiwei	北京市委
beijingshiweishengju	北京市卫生局
beijingshizhengfu	北京市政府
beijingshizhengxie	北京市政协
beijingshoudujichang	北京首都机场
beijingtieluju	北京铁路局
beijingtongrenyiyuan	北京同仁医院
beijingwaiguoyudaxue	北京外国语大学
beijingwang	北静王
beijingweishuqu	北京卫戍区
